stim_name,target_bg,l_probe,isBrighter,resp_time
sbcs,w,0.4,LEFT,6.343
sbcs,w,0.4,LEFT,6.929
sbcs,w,0.1,RIGHT,7.14
sbcs,b,0.9,RIGHT,13.926
sbcs,w,0.34,LEFT,6.058
sbcs,w,0.28,LEFT,6.292
sbcs,b,0.66,LEFT,3.501
sbcs,b,0.84,LEFT,6.722
sbcs,w,0.28,LEFT,6.516
sbcs,b,0.9,LEFT,9.392
sbcs,w,0.34,LEFT,5.868
sbcs,b,0.6,LEFT,6.344
sbcs,w,0.16,LEFT,3.769
sbcs,w,0.16,LEFT,7.158
sbcs,w,0.4,LEFT,6.125
sbcs,w,0.22,LEFT,3.761
sbcs,w,0.34,LEFT,5.975
sbcs,w,0.16,LEFT,6.961
sbcs,b,0.66,LEFT,7.316
sbcs,b,0.9,RIGHT,11.132
sbcs,b,0.84,LEFT,6.156
sbcs,b,0.66,LEFT,6.359
sbcs,w,0.4,LEFT,6.294
sbcs,w,0.34,LEFT,6.288
sbcs,b,0.78,LEFT,4.069
sbcs,b,0.84,LEFT,7.13
sbcs,w,0.28,LEFT,6.21
sbcs,b,0.66,LEFT,6.608
sbcs,w,0.22,LEFT,6.381
sbcs,w,0.22,LEFT,6.327
sbcs,b,0.66,LEFT,6.164
sbcs,b,0.9,RIGHT,6.497
sbcs,b,0.6,LEFT,5.933
sbcs,b,0.72,LEFT,6.49
sbcs,b,0.66,LEFT,6.407
sbcs,w,0.16,LEFT,6.637
sbcs,w,0.4,LEFT,6.459
sbcs,w,0.34,LEFT,3.796
sbcs,w,0.1,RIGHT,7.0
sbcs,w,0.28,LEFT,7.306
sbcs,b,0.6,LEFT,8.088
sbcs,b,0.78,LEFT,7.635
sbcs,w,0.16,RIGHT,6.701
sbcs,b,0.6,LEFT,7.189
sbcs,w,0.22,LEFT,8.037
sbcs,b,0.78,RIGHT,6.216
sbcs,b,0.78,LEFT,6.478
sbcs,b,0.6,LEFT,7.138
sbcs,w,0.1,RIGHT,7.31
sbcs,w,0.34,LEFT,6.097
sbcs,b,0.84,LEFT,6.491
sbcs,b,0.72,LEFT,6.489
sbcs,w,0.22,LEFT,6.94
sbcs,b,0.6,LEFT,7.635
sbcs,w,0.16,LEFT,7.129
sbcs,w,0.22,LEFT,7.3
sbcs,w,0.1,RIGHT,8.086
sbcs,w,0.28,LEFT,6.225
sbcs,b,0.78,LEFT,7.509
sbcs,w,0.28,LEFT,6.493
sbcs,b,0.78,LEFT,7.909
sbcs,b,0.72,LEFT,7.234
sbcs,w,0.34,LEFT,6.257
sbcs,w,0.4,LEFT,6.629
sbcs,b,0.9,RIGHT,7.203
sbcs,w,0.4,LEFT,6.769
sbcs,b,0.72,LEFT,7.296
sbcs,b,0.84,LEFT,10.38
sbcs,b,0.9,RIGHT,6.499
sbcs,w,0.1,LEFT,8.354
sbcs,b,0.84,LEFT,7.05
sbcs,w,0.1,LEFT,7.52
sbcs,w,0.4,LEFT,6.308
sbcs,b,0.66,LEFT,6.895
sbcs,b,0.6,LEFT,6.579
sbcs,b,0.78,LEFT,6.964
sbcs,b,0.84,LEFT,7.862
sbcs,w,0.16,LEFT,9.163
sbcs,w,0.22,LEFT,8.01
sbcs,w,0.16,LEFT,7.622
sbcs,b,0.72,LEFT,6.95
sbcs,w,0.1,RIGHT,8.287
sbcs,b,0.66,LEFT,6.636
sbcs,b,0.66,LEFT,6.989
sbcs,w,0.16,LEFT,6.357
sbcs,b,0.78,LEFT,6.282
sbcs,b,0.78,LEFT,6.916
sbcs,w,0.28,LEFT,6.441
sbcs,b,0.84,LEFT,9.102
sbcs,w,0.16,LEFT,6.643
sbcs,b,0.9,RIGHT,6.697
sbcs,b,0.72,LEFT,6.028
sbcs,b,0.84,LEFT,6.152
sbcs,w,0.28,LEFT,6.366
sbcs,w,0.34,LEFT,6.544
sbcs,b,0.6,LEFT,6.471
sbcs,b,0.78,LEFT,7.21
sbcs,w,0.34,LEFT,7.157
sbcs,b,0.66,LEFT,6.457
sbcs,b,0.9,LEFT,7.187
sbcs,b,0.9,RIGHT,7.757
sbcs,b,0.72,LEFT,7.013
sbcs,b,0.6,LEFT,6.794
sbcs,w,0.22,LEFT,6.215
sbcs,w,0.1,LEFT,9.369
sbcs,b,0.6,LEFT,6.437
sbcs,w,0.34,LEFT,7.913
sbcs,w,0.28,LEFT,6.256
sbcs,w,0.4,LEFT,4.652
sbcs,w,0.28,LEFT,6.909
sbcs,w,0.22,LEFT,7.026
sbcs,b,0.72,LEFT,6.801
sbcs,b,0.72,LEFT,8.155
sbcs,w,0.1,RIGHT,6.781
sbcs,b,0.84,LEFT,6.914
sbcs,w,0.1,LEFT,7.154
sbcs,b,0.72,LEFT,6.792
sbcs,b,0.9,RIGHT,11.733
sbcs,w,0.4,LEFT,6.121
sbcs,w,0.22,LEFT,7.292
