Input Luminance
6.784313725490196401e-01 1.791999999999999602e+02
6.823529411764706065e-01 1.820333333333333314e+02
6.862745098039215730e-01 1.847666666666666515e+02
6.901960784313725394e-01 1.873666666666666458e+02
6.941176470588235059e-01 1.900000000000000000e+02
6.980392156862744724e-01 1.937999999999999829e+02
7.019607843137254388e-01 1.960000000000000000e+02
7.058823529411764053e-01 1.993666666666666742e+02
7.098039215686274828e-01 2.015999999999999943e+02
7.137254901960784492e-01 2.049333333333333087e+02
7.176470588235294157e-01 2.079333333333333087e+02
7.215686274509803821e-01 2.111666666666666572e+02
7.254901960784313486e-01 2.141333333333333258e+02
7.294117647058823151e-01 2.171333333333333258e+02
7.333333333333332815e-01 2.201333333333333258e+02
7.372549019607843590e-01 2.232333333333333485e+02
7.411764705882353255e-01 2.269000000000000057e+02
7.450980392156862919e-01 2.297999999999999829e+02
7.490196078431372584e-01 2.331333333333333258e+02
7.529411764705882248e-01 2.362333333333333485e+02
7.568627450980391913e-01 2.394000000000000057e+02
7.607843137254901578e-01 2.431666666666666572e+02
7.647058823529411242e-01 2.469333333333333087e+02
7.686274509803920907e-01 2.500999999999999943e+02
7.725490196078431682e-01 2.526666666666666572e+02
7.764705882352941346e-01 2.581000000000000227e+02
7.803921568627451011e-01 2.612333333333333485e+02
7.843137254901960675e-01 2.641666666666666856e+02
7.882352941176470340e-01 2.668000000000000114e+02
7.921568627450980005e-01 2.700333333333333599e+02
7.960784313725489669e-01 2.735000000000000000e+02
8.000000000000000444e-01 2.793666666666666742e+02
8.039215686274510109e-01 2.824000000000000341e+02
8.078431372549019773e-01 2.859000000000000341e+02
8.117647058823529438e-01 2.892333333333333485e+02
8.156862745098039102e-01 2.921000000000000227e+02
8.196078431372548767e-01 2.971333333333333258e+02
8.235294117647058432e-01 3.001999999999999886e+02
8.274509803921568096e-01 3.034333333333333371e+02
8.313725490196077761e-01 3.098666666666666174e+02
8.352941176470588536e-01 3.118000000000000114e+02
8.392156862745098200e-01 3.151333333333333826e+02
8.431372549019607865e-01 3.188666666666666174e+02
8.470588235294117530e-01 3.233333333333333144e+02
8.509803921568627194e-01 3.283000000000000114e+02
8.549019607843136859e-01 3.310000000000000568e+02
8.588235294117646523e-01 3.351000000000000227e+02
8.627450980392157298e-01 3.412333333333333485e+02
8.666666666666666963e-01 3.427666666666667084e+02
8.705882352941176627e-01 3.474000000000000341e+02
8.745098039215686292e-01 3.516999999999999886e+02
8.784313725490195957e-01 3.573333333333333144e+02
8.823529411764705621e-01 3.611333333333333826e+02
8.862745098039215286e-01 3.644666666666666970e+02
8.901960784313724950e-01 3.681000000000000796e+02
8.941176470588234615e-01 3.743000000000000114e+02
8.980392156862745390e-01 3.773000000000000114e+02
9.019607843137255054e-01 3.823333333333333144e+02
9.058823529411764719e-01 3.854333333333333371e+02
9.098039215686274384e-01 3.915666666666666060e+02
9.137254901960784048e-01 3.944333333333333371e+02
9.176470588235293713e-01 3.990666666666666060e+02
9.215686274509803377e-01 4.041666666666666856e+02
9.254901960784314152e-01 4.082666666666667084e+02
9.294117647058823817e-01 4.124333333333333371e+02
9.333333333333333481e-01 4.177666666666667084e+02
9.372549019607843146e-01 4.219666666666666401e+02
9.411764705882352811e-01 4.273333333333333144e+02
9.450980392156862475e-01 4.319333333333333371e+02
9.490196078431372140e-01 4.381333333333333826e+02
9.529411764705881804e-01 4.410666666666666629e+02
9.568627450980391469e-01 4.453999999999999204e+02
9.607843137254902244e-01 4.507666666666667084e+02
9.647058823529411908e-01 4.555999999999999659e+02
9.686274509803921573e-01 4.620666666666666629e+02
9.725490196078431238e-01 4.648333333333333144e+02
9.764705882352940902e-01 4.696999999999999886e+02
9.803921568627450567e-01 4.751333333333333826e+02
9.843137254901960231e-01 4.794666666666666970e+02
9.882352941176471006e-01 4.865666666666666629e+02
9.921568627450980671e-01 4.909666666666666970e+02
9.960784313725490335e-01 4.951666666666666856e+02
1.000000000000000000e+00 4.983000000000000114e+02
