IntensityIn IntensityOut Luminance
4.611734187838559818e-01 7.490196078431372584e-01 2.331333333333333258e+02
4.678568703746089907e-01 7.529411764705882248e-01 2.362333333333333485e+02
4.740825513084611087e-01 7.568627450980391913e-01 2.394000000000000057e+02
4.804455634393835495e-01 7.607843137254901578e-01 2.431666666666666572e+02
4.879987792782482514e-01 7.647058823529411242e-01 2.469333333333333087e+02
4.955519951171130089e-01 7.686274509803920907e-01 2.500999999999999943e+02
5.019150072480353941e-01 7.725490196078431682e-01 2.526666666666666572e+02
5.070572976272220700e-01 7.764705882352941346e-01 2.581000000000000227e+02
5.179674982833600838e-01 7.803921568627451011e-01 2.612333333333333485e+02
5.242542153047989872e-01 7.843137254901960675e-01 2.641666666666666856e+02
5.301441977569237851e-01 7.882352941176470340e-01 2.668000000000000114e+02
5.354238193331807283e-01 7.921568627450980005e-01 2.700333333333333599e+02
5.419089036392766845e-01 7.960784313725489669e-01 2.735000000000000000e+02
5.488670176241703391e-01 8.000000000000000444e-01 2.793666666666666742e+02
5.606469825284199349e-01 8.039215686274510109e-01 2.824000000000000341e+02
5.667353322652017855e-01 8.078431372549019773e-01 2.859000000000000341e+02
5.737544823376821146e-01 8.117647058823529438e-01 2.892333333333333485e+02
5.804379339284352346e-01 8.156862745098039102e-01 2.921000000000000227e+02
5.862058442053864615e-01 8.196078431372548767e-01 2.971333333333333258e+02
5.962920576791027605e-01 8.235294117647058432e-01 3.001999999999999886e+02
6.024567025253680930e-01 8.274509803921568096e-01 3.034333333333333371e+02
6.089417868314640492e-01 8.313725490196077761e-01 3.098666666666666174e+02
6.218509193560692871e-01 8.352941176470588536e-01 3.118000000000000114e+02
6.257267109178301645e-01 8.392156862745098200e-01 3.151333333333333826e+02
6.324254215304798699e-01 8.431372549019607865e-01 3.188666666666666174e+02
6.399176012817577863e-01 8.470588235294117530e-01 3.233333333333333144e+02
6.488746471351186651e-01 8.509803921568627194e-01 3.283000000000000114e+02
6.588387884336613931e-01 8.549019607843136859e-01 3.310000000000000568e+02
6.642710002288853000e-01 8.588235294117646523e-01 3.351000000000000227e+02
6.724956130312047531e-01 8.627450980392157298e-01 3.412333333333333485e+02
6.847943846799420253e-01 8.666666666666666963e-01 3.427666666666667084e+02
6.878767071030746916e-01 8.705882352941176627e-01 3.474000000000000341e+02
6.971694514381627794e-01 8.745098039215686292e-01 3.516999999999999886e+02
7.058060578316930345e-01 8.784313725490195957e-01 3.573333333333333144e+02
7.171129930571450428e-01 8.823529411764705621e-01 3.611333333333333826e+02
7.247425040054932266e-01 8.862745098039215286e-01 3.644666666666666970e+02
7.314259555962462356e-01 8.901960784313724950e-01 3.681000000000000796e+02
7.387197680628672103e-01 8.941176470588234615e-01 3.743000000000000114e+02
7.511558709086747498e-01 8.980392156862745390e-01 3.773000000000000114e+02
7.571831845578698150e-01 9.019607843137255054e-01 3.823333333333333144e+02
7.672846570534829214e-01 9.058823529411764719e-01 3.854333333333333371e+02
7.735103379873350393e-01 9.098039215686274384e-01 3.915666666666666060e+02
7.858091096360723116e-01 9.137254901960784048e-01 3.944333333333333371e+02
7.915617608911268421e-01 9.176470588235293713e-01 3.990666666666666060e+02
8.008697642481117374e-01 9.215686274509803377e-01 4.041666666666666856e+02
8.110933089188983036e-01 9.254901960784314152e-01 4.082666666666667084e+02
8.193331807431143421e-01 9.294117647058823817e-01 4.124333333333333371e+02
8.276798657206072551e-01 9.333333333333333481e-01 4.177666666666667084e+02
8.383916990920882162e-01 9.372549019607843146e-01 4.219666666666666401e+02
8.468146791790646111e-01 9.411764705882352811e-01 4.273333333333333144e+02
8.575875486381322466e-01 9.450980392156862475e-01 4.319333333333333371e+02
8.668192568856336599e-01 9.490196078431372140e-01 4.381333333333333826e+02
8.792706187533378959e-01 9.529411764705881804e-01 4.410666666666666629e+02
8.851453421835659974e-01 9.568627450980391469e-01 4.453999999999999204e+02
8.938429846646830379e-01 9.607843137254902244e-01 4.507666666666667084e+02
9.046158541237506734e-01 9.647058823529411908e-01 4.555999999999999659e+02
9.143205920500495631e-01 9.686274509803921573e-01 4.620666666666666629e+02
9.272907606622415866e-01 9.725490196078431238e-01 4.648333333333333144e+02
9.328450446326390644e-01 9.764705882352940902e-01 4.696999999999999886e+02
9.426108186465247396e-01 9.803921568627450567e-01 4.751333333333333826e+02
9.535210193026627534e-01 9.843137254901960231e-01 4.794666666666666970e+02
9.622186617837796829e-01 9.882352941176471006e-01 4.865666666666666629e+02
9.764553292133973939e-01 9.921568627450980671e-01 4.909666666666666970e+02
9.852903028915847017e-01 9.960784313725490335e-01 4.951666666666666856e+02
9.937132829785610966e-01 1.000000000000000000e+00 4.983000000000000114e+02
