stim_name,target_bg,l_probe
sbcs,b,0.93
sbcs,b,0.96
sbcs,b,0.93
sbcs,b,0.93
sbcs,b,0.96
sbcs,b,0.96
sbcs,b,0.93
sbcs,b,0.93
sbcs,b,0.93
sbcs,b,0.93
sbcs,b,0.96
sbcs,b,0.96
sbcs,b,0.93
sbcs,b,0.96
sbcs,b,0.93
sbcs,b,0.96
sbcs,b,0.96
sbcs,b,0.96
sbcs,b,0.93
sbcs,b,0.96
