stim_name,target_bg,l_probe,isBrighter,resp_time
sbcs,w,0.28,LEFT,9.9
sbcs,w,0.34,LEFT,7.434
sbcs,w,0.1,RIGHT,6.326
sbcs,b,0.78,RIGHT,6.963
sbcs,b,0.6,LEFT,6.747
sbcs,w,0.22,RIGHT,6.444
sbcs,w,0.28,LEFT,8.264
sbcs,b,0.72,LEFT,7.31
sbcs,b,0.72,LEFT,7.908
sbcs,b,0.9,RIGHT,7.337
sbcs,w,0.4,LEFT,6.164
sbcs,b,0.78,LEFT,8.798
sbcs,b,0.66,LEFT,7.016
sbcs,b,0.72,LEFT,16.349
sbcs,b,0.84,LEFT,11.315
sbcs,b,0.78,LEFT,6.609
sbcs,w,0.34,LEFT,7.843
sbcs,b,0.78,LEFT,14.567
sbcs,b,0.66,LEFT,7.122
sbcs,w,0.4,LEFT,6.87
sbcs,w,0.34,LEFT,7.1
sbcs,b,0.66,LEFT,8.492
sbcs,w,0.28,LEFT,8.935
sbcs,w,0.34,LEFT,9.558
sbcs,b,0.9,RIGHT,7.448
sbcs,b,0.66,LEFT,6.567
sbcs,w,0.22,RIGHT,7.16
sbcs,b,0.84,LEFT,6.661
sbcs,b,0.9,RIGHT,7.328
sbcs,b,0.72,LEFT,6.824
sbcs,b,0.66,LEFT,7.875
sbcs,w,0.28,LEFT,6.768
sbcs,w,0.34,LEFT,7.666
sbcs,b,0.9,RIGHT,5.999
sbcs,w,0.4,LEFT,6.345
sbcs,b,0.6,LEFT,6.516
sbcs,w,0.16,RIGHT,6.027
sbcs,w,0.34,LEFT,6.85
sbcs,w,0.4,LEFT,6.541
sbcs,w,0.34,LEFT,6.878
sbcs,b,0.6,LEFT,6.365
sbcs,w,0.28,LEFT,7.59
sbcs,b,0.66,LEFT,6.345
sbcs,w,0.34,LEFT,7.057
sbcs,b,0.78,LEFT,8.586
sbcs,w,0.28,LEFT,7.694
sbcs,b,0.6,LEFT,6.218
sbcs,w,0.1,RIGHT,6.037
sbcs,b,0.66,LEFT,6.549
sbcs,w,0.16,RIGHT,6.204
sbcs,b,0.84,LEFT,6.907
sbcs,b,0.78,LEFT,7.151
sbcs,w,0.28,LEFT,7.42
sbcs,b,0.84,LEFT,6.647
sbcs,b,0.6,LEFT,6.648
sbcs,b,0.84,LEFT,13.643
sbcs,b,0.84,LEFT,8.924
sbcs,b,0.72,RIGHT,6.561
sbcs,w,0.16,RIGHT,6.239
sbcs,w,0.4,LEFT,6.712
sbcs,b,0.84,RIGHT,7.51
sbcs,b,0.6,LEFT,5.867
sbcs,w,0.1,RIGHT,6.831
sbcs,b,0.84,LEFT,7.308
sbcs,b,0.84,LEFT,7.053
sbcs,b,0.9,LEFT,6.616
sbcs,b,0.6,LEFT,6.141
sbcs,b,0.9,RIGHT,9.659
sbcs,w,0.28,LEFT,7.096
sbcs,b,0.78,LEFT,6.377
sbcs,b,0.6,LEFT,7.178
sbcs,w,0.1,RIGHT,6.624
sbcs,w,0.22,LEFT,26.087
sbcs,b,0.84,LEFT,12.793
sbcs,w,0.1,RIGHT,8.388
sbcs,w,0.1,RIGHT,7.325
sbcs,b,0.72,LEFT,6.662
sbcs,b,0.6,LEFT,6.496
sbcs,b,0.72,LEFT,6.783
sbcs,w,0.16,RIGHT,6.792
sbcs,b,0.6,LEFT,6.223
sbcs,w,0.1,RIGHT,6.52
sbcs,b,0.66,LEFT,6.397
sbcs,w,0.34,LEFT,5.833
sbcs,w,0.1,RIGHT,6.496
sbcs,w,0.4,LEFT,7.198
sbcs,w,0.16,RIGHT,8.406
sbcs,w,0.16,RIGHT,6.607
sbcs,w,0.34,LEFT,6.185
sbcs,w,0.4,LEFT,6.756
sbcs,b,0.78,LEFT,6.811
sbcs,w,0.28,LEFT,6.698
sbcs,w,0.4,LEFT,6.197
sbcs,w,0.4,LEFT,6.347
sbcs,w,0.4,LEFT,6.67
sbcs,w,0.22,RIGHT,7.678
sbcs,b,0.66,LEFT,6.79
sbcs,w,0.22,LEFT,9.034
sbcs,b,0.66,LEFT,7.679
sbcs,w,0.22,RIGHT,6.568
sbcs,w,0.22,LEFT,9.277
sbcs,b,0.9,RIGHT,10.066
sbcs,w,0.28,LEFT,6.734
sbcs,b,0.78,LEFT,6.376
sbcs,b,0.72,LEFT,6.562
sbcs,b,0.78,LEFT,7.538
sbcs,w,0.1,RIGHT,6.259
sbcs,b,0.9,RIGHT,8.154
sbcs,w,0.22,LEFT,9.324
sbcs,b,0.9,LEFT,6.71
sbcs,w,0.1,RIGHT,6.917
sbcs,w,0.16,RIGHT,8.185
sbcs,w,0.16,RIGHT,10.055
sbcs,b,0.72,LEFT,7.652
sbcs,b,0.9,RIGHT,8.48
sbcs,b,0.72,LEFT,6.764
sbcs,w,0.16,LEFT,7.397
sbcs,w,0.22,LEFT,6.518
sbcs,w,0.16,RIGHT,7.414
sbcs,w,0.22,LEFT,7.08
