trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,sbcs,b,0.84,Left,1.23657,20231103:160241.284497,20231103:160242.845718
1,sbcs,w,0.4,Left,0.79839,20231103:160242.847822,20231103:160244.026115
2,sbcs,w,0.1,Right,0.93493,20231103:160244.027347,20231103:160245.306450
3,sbcs,b,0.78,Left,0.86168,20231103:160245.307670,20231103:160246.540447
4,sbcs,w,0.34,Left,0.71424,20231103:160246.541688,20231103:160247.582800
5,sbcs,w,0.28,Left,0.84534,20231103:160247.584087,20231103:160248.780132
6,sbcs,b,0.6,Left,0.75178,20231103:160248.781295,20231103:160249.905167
7,sbcs,b,0.78,Left,1.24275,20231103:160249.906416,20231103:160251.498512
8,sbcs,w,0.16,Right,1.37506,20231103:160251.499905,20231103:160253.252301
9,sbcs,b,0.72,Left,0.87967,20231103:160253.253710,20231103:160254.484411
10,sbcs,w,0.28,Left,0.90457,20231103:160254.485667,20231103:160255.735772
11,sbcs,w,0.28,Left,0.85628,20231103:160255.736992,20231103:160256.931845
12,sbcs,w,0.1,Right,2.67289,20231103:160256.933059,20231103:160259.957784
13,sbcs,w,0.16,Left,4.17716,20231103:160259.996980,20231103:160304.520647
14,sbcs,w,0.1,Right,1.11963,20231103:160304.521863,20231103:160305.977475
15,sbcs,b,0.84,Left,1.07011,20231103:160305.978623,20231103:160307.385208
16,sbcs,w,0.22,Left,3.09357,20231103:160307.386442,20231103:160310.865921
17,sbcs,b,0.72,Left,2.03776,20231103:160310.867143,20231103:160313.216783
18,sbcs,w,0.22,Left,1.6222,20231103:160313.218022,20231103:160315.181859
19,sbcs,w,0.28,Left,1.48969,20231103:160315.183084,20231103:160317.006317
20,sbcs,b,0.9,Left,1.40765,20231103:160317.007794,20231103:160318.727333
21,sbcs,b,0.84,Left,1.43277,20231103:160318.762575,20231103:160320.564199
22,sbcs,b,0.9,Left,1.4798,20231103:160320.565581,20231103:160322.423294
23,sbcs,w,0.34,Left,2.68812,20231103:160322.424565,20231103:160325.454545
24,sbcs,b,0.72,Left,0.92214,20231103:160325.455833,20231103:160326.703847
25,sbcs,w,0.1,Right,1.3254,20231103:160326.705116,20231103:160328.377478
26,sbcs,w,0.4,Left,1.38717,20231103:160328.378761,20231103:160330.094704
27,sbcs,w,0.1,Right,0.79997,20231103:160330.095991,20231103:160331.240592
28,sbcs,w,0.1,Right,0.73607,20231103:160331.241838,20231103:160332.334756
29,sbcs,b,0.72,Left,1.8362,20231103:160332.335992,20231103:160334.526926
30,sbcs,w,0.16,Left,1.09868,20231103:160334.579122,20231103:160336.015045
31,sbcs,b,0.78,Left,0.98766,20231103:160336.016015,20231103:160337.320013
32,sbcs,w,0.28,Left,1.75347,20231103:160337.321259,20231103:160339.437649
33,sbcs,b,0.78,Left,0.90067,20231103:160339.438866,20231103:160340.681860
34,sbcs,w,0.28,Left,0.82381,20231103:160340.683121,20231103:160341.824956
35,sbcs,b,0.9,Left,1.35259,20231103:160341.826199,20231103:160343.527309
36,sbcs,w,0.16,Right,3.20394,20231103:160343.528584,20231103:160347.076460
37,sbcs,w,0.34,Left,0.62789,20231103:160347.077690,20231103:160348.064479
38,sbcs,w,0.28,Left,0.7971,20231103:160348.065943,20231103:160349.241213
39,sbcs,w,0.4,Left,1.07176,20231103:160349.242599,20231103:160350.641214
