stim_name,target_bg,l_probe,isBrighter,resp_time
sbcs,b,0.6,LEFT,6.558
sbcs,b,0.78,RIGHT,5.908
sbcs,w,0.28,LEFT,3.567
sbcs,w,0.1,LEFT,6.195
sbcs,w,0.28,LEFT,6.41
sbcs,b,0.9,RIGHT,5.995
sbcs,b,0.84,LEFT,6.814
sbcs,b,0.84,RIGHT,6.313
sbcs,b,0.6,LEFT,6.243
sbcs,w,0.34,LEFT,3.553
sbcs,w,0.28,LEFT,5.921
sbcs,w,0.1,RIGHT,7.07
sbcs,w,0.28,LEFT,6.143
sbcs,w,0.22,LEFT,3.593
sbcs,w,0.28,LEFT,5.925
sbcs,w,0.34,LEFT,6.465
sbcs,b,0.6,LEFT,6.265
sbcs,w,0.28,LEFT,3.885
sbcs,b,0.72,LEFT,6.351
sbcs,b,0.9,RIGHT,5.955
sbcs,w,0.16,LEFT,3.99
sbcs,w,0.1,RIGHT,6.478
sbcs,w,0.4,LEFT,5.977
sbcs,w,0.4,LEFT,2.342
sbcs,b,0.84,RIGHT,6.088
sbcs,b,0.6,LEFT,6.397
sbcs,w,0.34,LEFT,6.074
sbcs,w,0.34,LEFT,6.368
sbcs,w,0.4,LEFT,6.162
sbcs,b,0.78,LEFT,5.103
sbcs,w,0.1,LEFT,6.578
sbcs,w,0.34,LEFT,6.69
sbcs,w,0.34,LEFT,6.377
sbcs,b,0.9,RIGHT,6.302
sbcs,b,0.84,LEFT,7.024
sbcs,w,0.34,LEFT,6.192
sbcs,w,0.4,LEFT,3.615
sbcs,b,0.78,RIGHT,6.605
sbcs,w,0.1,LEFT,7.597
sbcs,w,0.16,RIGHT,6.393
sbcs,b,0.6,LEFT,5.86
sbcs,b,0.9,RIGHT,3.571
sbcs,b,0.66,LEFT,5.864
sbcs,w,0.22,LEFT,6.842
sbcs,b,0.72,LEFT,6.187
sbcs,b,0.66,LEFT,5.963
sbcs,b,0.66,LEFT,6.358
sbcs,b,0.6,LEFT,6.313
sbcs,w,0.22,LEFT,3.366
sbcs,b,0.72,LEFT,6.08
sbcs,b,0.84,RIGHT,3.374
sbcs,w,0.1,RIGHT,6.511
sbcs,b,0.66,LEFT,6.14
sbcs,b,0.6,LEFT,6.231
sbcs,b,0.72,LEFT,6.643
sbcs,b,0.84,LEFT,6.283
sbcs,w,0.16,LEFT,6.14
sbcs,w,0.16,LEFT,6.482
sbcs,b,0.72,LEFT,6.463
sbcs,w,0.22,LEFT,7.18
sbcs,b,0.6,LEFT,6.008
sbcs,b,0.9,RIGHT,3.725
sbcs,b,0.6,LEFT,5.648
sbcs,w,0.16,LEFT,3.639
sbcs,b,0.66,LEFT,5.96
sbcs,w,0.22,LEFT,6.662
sbcs,w,0.16,RIGHT,6.473
sbcs,b,0.72,LEFT,6.142
sbcs,w,0.34,LEFT,6.531
sbcs,b,0.66,LEFT,6.42
sbcs,w,0.22,RIGHT,6.815
sbcs,b,0.66,LEFT,6.333
sbcs,w,0.1,RIGHT,7.494
sbcs,b,0.66,LEFT,5.998
sbcs,b,0.9,RIGHT,6.524
sbcs,w,0.1,LEFT,6.299
sbcs,b,0.72,LEFT,6.937
sbcs,w,0.28,LEFT,6.381
sbcs,b,0.84,LEFT,7.319
sbcs,b,0.9,RIGHT,6.43
sbcs,w,0.1,RIGHT,7.623
sbcs,b,0.66,LEFT,6.803
sbcs,w,0.22,LEFT,7.519
sbcs,w,0.16,LEFT,5.937
sbcs,w,0.22,LEFT,6.242
sbcs,w,0.4,LEFT,3.305
sbcs,w,0.28,LEFT,6.302
sbcs,b,0.78,LEFT,6.8
sbcs,w,0.4,LEFT,5.816
sbcs,b,0.66,LEFT,3.22
sbcs,b,0.78,LEFT,7.124
sbcs,b,0.9,RIGHT,6.214
sbcs,w,0.4,LEFT,6.488
sbcs,w,0.4,LEFT,5.983
sbcs,b,0.72,LEFT,4.173
sbcs,w,0.34,LEFT,5.889
sbcs,w,0.34,LEFT,2.923
sbcs,w,0.1,LEFT,6.827
sbcs,b,0.6,LEFT,5.944
sbcs,w,0.16,LEFT,3.367
sbcs,w,0.4,LEFT,6.588
sbcs,w,0.28,LEFT,5.885
sbcs,b,0.78,LEFT,6.483
sbcs,b,0.72,LEFT,6.627
sbcs,b,0.9,RIGHT,6.787
sbcs,b,0.78,LEFT,6.537
sbcs,w,0.16,RIGHT,6.532
sbcs,w,0.4,LEFT,6.119
sbcs,b,0.84,LEFT,3.272
sbcs,w,0.22,LEFT,3.451
sbcs,b,0.72,LEFT,6.215
sbcs,w,0.16,LEFT,3.17
sbcs,w,0.28,LEFT,6.626
sbcs,b,0.84,LEFT,6.873
sbcs,b,0.78,LEFT,6.331
sbcs,b,0.78,LEFT,6.707
sbcs,w,0.22,LEFT,5.952
sbcs,b,0.84,LEFT,6.226
sbcs,b,0.78,LEFT,7.035
sbcs,b,0.9,RIGHT,6.794
