trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,whites,b,0.78,Right,2.28114,20231031:132648.163561,20231031:132651.030435
1,whites,b,0.9,Right,2.55701,20231031:132651.031462,20231031:132654.078055
2,whites,w,0.34,Left,0.54664,20231031:132654.079256,20231031:132655.116581
3,whites,b,0.72,Right,1.924,20231031:132655.117783,20231031:132657.508294
4,whites,w,0.22,Right,0.54194,20231031:132657.509522,20231031:132658.538557
5,whites,w,0.4,Left,0.472,20231031:132658.539775,20231031:132659.511987
6,whites,b,0.78,Right,0.39978,20231031:132659.513223,20231031:132700.369437
7,whites,b,0.72,Right,0.34509,20231031:132700.370650,20231031:132701.183991
8,whites,w,0.28,Right,0.74604,20231031:132701.185250,20231031:132702.444652
9,whites,w,0.28,Right,0.62387,20231031:132702.445861,20231031:132703.515039
10,whites,w,0.28,Right,0.32406,20231031:132703.516309,20231031:132704.321701
11,whites,b,0.78,Right,0.50787,20231031:132704.322939,20231031:132705.282037
12,whites,b,0.9,Right,0.58323,20231031:132705.283247,20231031:132706.343066
13,whites,w,0.4,Left,0.43476,20231031:132706.344416,20231031:132707.252523
14,whites,b,0.9,Right,0.41596,20231031:132707.253804,20231031:132708.106986
15,whites,b,0.6,Left,0.54602,20231031:132708.108244,20231031:132709.123882
16,whites,b,0.9,Right,0.45058,20231031:132709.125188,20231031:132710.036764
17,whites,w,0.22,Right,0.6204,20231031:132710.038010,20231031:132711.099837
18,whites,w,0.16,Left,0.5862,20231031:132711.101124,20231031:132712.177553
19,whites,b,0.84,Right,0.91448,20231031:132712.179042,20231031:132713.552817
20,whites,b,0.72,Left,0.71182,20231031:132713.554353,20231031:132714.755728
21,whites,b,0.66,Left,0.48583,20231031:132714.789081,20231031:132715.770849
22,whites,w,0.1,Right,1.35034,20231031:132715.772059,20231031:132717.567714
23,whites,w,0.28,Right,0.78168,20231031:132717.568972,20231031:132718.789963
24,whites,w,0.1,Right,0.68247,20231031:132718.790900,20231031:132719.959508
25,whites,w,0.22,Left,0.38114,20231031:132719.961106,20231031:132720.821515
26,whites,w,0.28,Right,1.16767,20231031:132720.822746,20231031:132722.489934
27,whites,w,0.16,Right,0.47555,20231031:132722.490872,20231031:132723.470647
28,whites,b,0.72,Right,0.56499,20231031:132723.471863,20231031:132724.494209
29,whites,b,0.9,Right,0.51579,20231031:132724.495446,20231031:132725.445287
30,whites,b,0.84,Right,0.84231,20231031:132725.522156,20231031:132726.846930
31,whites,w,0.22,Right,3.9333,20231031:132726.848415,20231031:132731.250822
32,whites,w,0.16,Right,0.44682,20231031:132731.252044,20231031:132732.154415
33,whites,w,0.16,Right,0.9027,20231031:132732.213387,20231031:132733.583252
34,whites,w,0.34,Left,0.60814,20231031:132733.584496,20231031:132734.645583
35,whites,b,0.84,Right,0.71319,20231031:132734.646841,20231031:132735.806852
36,whites,w,0.16,Right,0.55767,20231031:132735.808069,20231031:132736.815690
37,whites,w,0.22,Right,1.33309,20231031:132736.816926,20231031:132738.605016
38,whites,w,0.4,Left,0.44319,20231031:132738.606256,20231031:132739.511625
39,whites,w,0.1,Right,0.44863,20231031:132739.512900,20231031:132740.407460
40,whites,b,0.66,Left,2.03342,20231031:132740.408706,20231031:132742.905839
41,whites,b,0.84,Right,0.55101,20231031:132742.907299,20231031:132743.936625
42,whites,w,0.16,Right,0.84505,20231031:132743.937780,20231031:132745.262607
43,whites,b,0.66,Left,1.47992,20231031:132745.263868,20231031:132747.203883
44,whites,b,0.66,Right,0.45275,20231031:132747.205128,20231031:132748.106812
45,whites,w,0.34,Right,2.52602,20231031:132748.108053,20231031:132751.097253
