trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
95,sbcs,w,0.4,Left,0.41712,20231031:132624.439618,20231031:132625.160877
96,sbcs,w,0.22,Left,0.33147,20231031:132625.162155,20231031:132625.831940
97,sbcs,w,0.16,Left,0.34968,20231031:132625.833193,20231031:132626.533857
98,sbcs,b,0.72,Left,0.51915,20231031:132626.535095,20231031:132627.361895
99,sbcs,b,0.84,Left,0.74579,20231031:132627.363167,20231031:132628.451700
100,sbcs,b,0.6,Left,0.52484,20231031:132628.452969,20231031:132629.328399
101,sbcs,b,0.78,Left,0.62263,20231031:132629.329666,20231031:132630.258808
102,sbcs,w,0.4,Left,0.46208,20231031:132630.260092,20231031:132631.031597
103,sbcs,w,0.22,Left,0.35147,20231031:132631.032875,20231031:132631.702152
104,sbcs,b,0.72,Left,0.49671,20231031:132631.703403,20231031:132632.558986
105,sbcs,b,0.72,Left,0.75451,20231031:132632.560296,20231031:132633.645612
106,sbcs,b,0.66,Left,0.50249,20231031:132633.646886,20231031:132634.472576
107,sbcs,b,0.72,Left,0.51238,20231031:132634.524526,20231031:132635.349952
108,sbcs,w,0.16,Left,0.55479,20231031:132635.351229,20231031:132636.229989
109,sbcs,b,0.84,Left,0.98232,20231031:132636.230508,20231031:132637.556243
110,sbcs,w,0.22,Left,0.45835,20231031:132637.557525,20231031:132638.330953
111,sbcs,b,0.72,Left,0.47361,20231031:132638.332232,20231031:132639.186407
112,sbcs,b,0.9,Right,1.9984,20231031:132639.187335,20231031:132641.526870
113,sbcs,b,0.84,Left,0.41959,20231031:132641.528125,20231031:132642.300213
114,sbcs,w,0.4,Left,0.39602,20231031:132642.300586,20231031:132643.023095
115,sbcs,w,0.4,Left,0.27732,20231031:132643.024483,20231031:132643.672166
116,sbcs,b,0.78,Left,0.31895,20231031:132643.673104,20231031:132644.342134
117,sbcs,w,0.4,Left,0.33266,20231031:132644.343508,20231031:132645.012022
118,sbcs,w,0.4,Left,0.31114,20231031:132645.013294,20231031:132645.630530
119,sbcs,w,0.22,Left,0.33151,20231031:132645.631766,20231031:132646.305606
