trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
0,whites,w,0.22,Right,3.95799,20231113:175518.713902,20231113:175523.128619
1,whites,w,0.1,Right,3.02888,20231113:175523.130105,20231113:175526.599456
2,whites,b,0.78,Right,0.76051,20231113:175526.600641,20231113:175527.818603
3,whites,b,0.9,Right,2.76043,20231113:175527.819859,20231113:175531.031746
4,whites,b,0.66,Left,0.92757,20231113:175531.033067,20231113:175532.448073
5,whites,w,0.1,Right,2.11887,20231113:175532.449279,20231113:175535.029909
6,whites,b,0.6,Left,0.64198,20231113:175535.031112,20231113:175536.141904
7,whites,b,0.84,Right,0.49775,20231113:175536.180629,20231113:175537.139179
8,whites,w,0.22,Left,1.38817,20231113:175537.140736,20231113:175538.985203
9,whites,b,0.66,Left,2.77022,20231113:175538.986353,20231113:175542.194906
10,whites,b,0.66,Right,2.97791,20231113:175542.196140,20231113:175545.618231
11,whites,b,0.66,Left,0.51078,20231113:175545.618791,20231113:175546.608289
12,whites,w,0.4,Left,0.48947,20231113:175546.609475,20231113:175547.564723
13,whites,w,0.34,Left,0.53731,20231113:175547.596448,20231113:175548.602134
14,whites,b,0.66,Right,1.05741,20231113:175548.602787,20231113:175550.132242
15,whites,b,0.9,Right,0.60791,20231113:175550.133428,20231113:175551.188347
16,whites,w,0.22,Right,1.6631,20231113:175551.189575,20231113:175553.301040
17,whites,w,0.16,Right,0.86663,20231113:175553.302458,20231113:175554.629444
18,whites,b,0.78,Right,0.5046,20231113:175554.630679,20231113:175555.586333
19,whites,w,0.22,Right,1.5393,20231113:175555.587578,20231113:175557.590285
20,whites,b,0.6,Left,0.70474,20231113:175557.591508,20231113:175558.757007
21,whites,b,0.72,Right,1.08902,20231113:175558.812831,20231113:175600.343022
22,whites,w,0.16,Right,0.71829,20231113:175600.344237,20231113:175601.510996
23,whites,b,0.78,Right,0.48882,20231113:175601.512240,20231113:175602.466812
24,whites,w,0.28,Left,1.63368,20231113:175602.468067,20231113:175604.579429
25,whites,b,0.78,Right,0.5583,20231113:175604.580656,20231113:175605.588852
26,whites,w,0.28,Left,1.05633,20231113:175605.590030,20231113:175607.124051
27,whites,w,0.1,Right,0.44046,20231113:175607.125277,20231113:175608.030835
28,whites,b,0.84,Right,0.49776,20231113:175608.032256,20231113:175609.026981
29,whites,b,0.78,Right,0.504,20231113:175609.027338,20231113:175609.976455
30,whites,w,0.22,Left,1.88028,20231113:175610.011901,20231113:175612.357596
31,whites,w,0.34,Left,1.34684,20231113:175612.358829,20231113:175614.149713
32,whites,w,0.1,Right,0.51052,20231113:175614.150912,20231113:175615.141404
33,whites,w,0.4,Left,0.51094,20231113:175615.195462,20231113:175616.183094
34,whites,w,0.22,Right,0.55412,20231113:175616.184072,20231113:175617.191245
35,whites,w,0.22,Right,1.48518,20231113:175617.192507,20231113:175619.140503
36,whites,w,0.16,Right,3.56191,20231113:175619.141918,20231113:175623.223732
37,whites,b,0.6,Left,0.60668,20231113:175623.224966,20231113:175624.289851
38,whites,w,0.1,Right,0.56147,20231113:175624.291090,20231113:175625.300757
39,whites,b,0.6,Left,0.58587,20231113:175625.301986,20231113:175626.357785
40,whites,b,0.72,Right,0.7371,20231113:175626.359006,20231113:175627.579156
41,whites,w,0.34,Left,2.44383,20231113:175627.580382,20231113:175630.471888
42,whites,b,0.84,Right,0.50543,20231113:175630.473023,20231113:175631.467449
43,whites,b,0.66,Left,0.55091,20231113:175631.468680,20231113:175632.480012
44,whites,w,0.34,Left,1.12759,20231113:175632.481431,20231113:175634.066955
45,whites,b,0.72,Right,0.59132,20231113:175634.068418,20231113:175635.131325
46,whites,b,0.66,Left,0.51534,20231113:175635.132562,20231113:175636.086201
47,whites,w,0.4,Left,0.49057,20231113:175636.087451,20231113:175637.040320
48,whites,w,0.1,Right,0.53975,20231113:175637.041538,20231113:175638.086275
49,whites,b,0.6,Left,0.44058,20231113:175638.087519,20231113:175639.020816
50,whites,b,0.9,Right,0.45892,20231113:175639.022051,20231113:175639.926898
51,whites,w,0.4,Left,0.59247,20231113:175639.928117,20231113:175640.987218
52,whites,b,0.84,Right,0.35049,20231113:175640.988671,20231113:175641.818694
53,whites,w,0.4,Left,1.43104,20231113:175641.852750,20231113:175643.749456
54,whites,b,0.78,Right,0.52255,20231113:175643.750688,20231113:175644.757419
55,whites,b,0.72,Right,2.59082,20231113:175644.758657,20231113:175647.801907
56,whites,b,0.78,Right,0.48959,20231113:175647.835823,20231113:175648.826265
57,whites,w,0.28,Right,0.88038,20231113:175648.827511,20231113:175650.184306
58,whites,b,0.72,Right,0.62306,20231113:175650.184676,20231113:175651.242993
59,whites,w,0.4,Left,0.82269,20231113:175651.244250,20231113:175652.512104
60,whites,b,0.9,Right,0.67655,20231113:175656.414306,20231113:175657.523757
61,whites,b,0.6,Left,0.71304,20231113:175657.524977,20231113:175658.686759
62,whites,w,0.34,Left,0.70062,20231113:175658.688204,20231113:175659.855115
63,whites,b,0.9,Right,0.38147,20231113:175659.856368,20231113:175700.705423
64,whites,b,0.72,Right,0.56722,20231113:175700.706625,20231113:175701.713585
65,whites,b,0.78,Right,0.45324,20231113:175701.714801,20231113:175702.618824
66,whites,w,0.1,Right,1.17317,20231113:175702.668641,20231113:175704.307578
67,whites,b,0.9,Right,0.47377,20231113:175704.308961,20231113:175705.265264
68,whites,w,0.28,Right,1.57383,20231113:175705.266477,20231113:175707.321210
69,whites,w,0.22,Right,0.42876,20231113:175707.322621,20231113:175708.226691
70,whites,w,0.1,Right,0.38629,20231113:175708.228001,20231113:175709.080102
71,whites,w,0.1,Right,0.41586,20231113:175709.081338,20231113:175709.928473
72,whites,b,0.72,Right,1.27365,20231113:175709.928948,20231113:175711.667779
73,whites,w,0.16,Right,0.58817,20231113:175711.668995,20231113:175712.728725
74,whites,b,0.66,Left,0.91953,20231113:175712.729947,20231113:175714.099746
75,whites,b,0.9,Right,0.40701,20231113:175714.101292,20231113:175714.987422
76,whites,w,0.28,Right,0.62319,20231113:175714.988665,20231113:175716.049971
77,whites,b,0.66,Right,0.65672,20231113:175716.051229,20231113:175717.167283
78,whites,w,0.16,Right,0.45817,20231113:175717.168546,20231113:175718.069702
79,whites,w,0.34,Left,0.85825,20231113:175718.070929,20231113:175719.424808
80,whites,b,0.6,Right,2.23062,20231113:175719.459710,20231113:175722.141002
81,whites,w,0.4,Left,0.6015,20231113:175722.142233,20231113:175723.202278
82,whites,b,0.72,Right,0.50098,20231113:175723.203523,20231113:175724.164863
83,whites,w,0.22,Right,0.51773,20231113:175724.166084,20231113:175725.153834
84,whites,w,0.4,Left,0.47908,20231113:175725.155060,20231113:175726.108554
85,whites,b,0.84,Right,0.33931,20231113:175726.109792,20231113:175726.907794
86,whites,w,0.16,Right,0.45883,20231113:175726.909180,20231113:175727.845519
87,whites,w,0.16,Right,0.37831,20231113:175727.846430,20231113:175728.696779
88,whites,w,0.34,Right,0.87329,20231113:175728.697991,20231113:175730.019087
89,whites,w,0.28,Right,1.84184,20231113:175730.020428,20231113:175732.375172
90,whites,w,0.16,Right,0.49319,20231113:175732.376611,20231113:175733.365459
91,whites,b,0.9,Right,0.46951,20231113:175733.366685,20231113:175734.322594
92,whites,w,0.34,Left,1.27606,20231113:175734.324041,20231113:175736.063198
93,whites,b,0.6,Left,1.57715,20231113:175736.064436,20231113:175738.122004
94,whites,w,0.4,Left,1.32269,20231113:175738.123206,20231113:175739.913970
95,whites,b,0.84,Right,0.42529,20231113:175739.915180,20231113:175740.820087
96,whites,b,0.6,Left,0.63986,20231113:175740.821496,20231113:175741.966740
97,whites,b,0.84,Right,0.42875,20231113:175741.967984,20231113:175742.871101
98,whites,b,0.72,Right,0.59512,20231113:175742.872488,20231113:175743.931290
99,whites,w,0.28,Right,1.97717,20231113:175743.966796,20231113:175746.384778
100,whites,b,0.6,Left,1.00499,20231113:175746.385979,20231113:175747.860979
101,whites,w,0.16,Right,0.37453,20231113:175747.861339,20231113:175748.747158
102,whites,b,0.78,Right,0.45214,20231113:175748.748380,20231113:175749.651890
103,whites,b,0.78,Right,0.38308,20231113:175749.683435,20231113:175750.574452
104,whites,w,0.1,Right,0.62632,20231113:175750.575684,20231113:175751.633166
105,whites,w,0.22,Right,0.73893,20231113:175751.634392,20231113:175752.851234
106,whites,b,0.9,Right,0.40327,20231113:175752.852527,20231113:175753.704841
107,whites,b,0.66,Left,1.55558,20231113:175753.706061,20231113:175755.705346
108,whites,w,0.4,Left,1.46267,20231113:175755.706580,20231113:175757.636708
109,whites,w,0.34,Right,0.42047,20231113:175757.638147,20231113:175758.542586
110,whites,w,0.28,Right,0.39625,20231113:175758.543814,20231113:175759.394827
111,whites,b,0.84,Right,0.36117,20231113:175759.396088,20231113:175800.192853
112,whites,w,0.16,Right,0.57635,20231113:175800.194079,20231113:175801.256905
113,whites,b,0.72,Right,0.3376,20231113:175801.258123,20231113:175802.054952
114,whites,b,0.9,Right,0.40741,20231113:175802.056191,20231113:175802.905228
115,whites,w,0.28,Right,1.53139,20231113:175802.906461,20231113:175804.909294
