trial,stim_name,target_bg,l_probe,response,resp.time,start_time,stop_time
77,sbcs,w,0.34,Left,0.48323,20231113:175358.651711,20231113:175359.480520
78,sbcs,b,0.84,Left,1.52448,20231113:175359.481759,20231113:175401.357640
79,sbcs,w,0.4,Left,0.43629,20231113:175401.358883,20231113:175402.165512
80,sbcs,b,0.66,Left,0.42413,20231113:175402.166926,20231113:175402.978112
81,sbcs,w,0.22,Left,0.59131,20231113:175402.979335,20231113:175403.912972
82,sbcs,w,0.4,Left,0.40649,20231113:175403.914386,20231113:175404.636585
83,sbcs,b,0.66,Left,0.49944,20231113:175404.637836,20231113:175405.497655
84,sbcs,w,0.16,Left,1.68448,20231113:175405.498891,20231113:175407.532435
85,sbcs,b,0.6,Left,1.16957,20231113:175407.566959,20231113:175409.076319
86,sbcs,b,0.84,Right,2.5952,20231113:175409.077543,20231113:175412.029274
87,sbcs,b,0.84,Right,1.26568,20231113:175412.030497,20231113:175413.646193
88,sbcs,w,0.34,Left,0.49765,20231113:175413.647443,20231113:175414.508627
89,sbcs,b,0.72,Left,0.62901,20231113:175414.509868,20231113:175415.495748
90,sbcs,w,0.34,Left,0.45924,20231113:175415.497192,20231113:175416.273425
91,sbcs,b,0.66,Left,0.54174,20231113:175416.274653,20231113:175417.153203
92,sbcs,w,0.1,Left,1.35975,20231113:175417.154446,20231113:175418.820264
93,sbcs,w,0.4,Left,0.44732,20231113:175418.849926,20231113:175419.658440
94,sbcs,w,0.1,Left,4.73412,20231113:175419.659698,20231113:175424.756558
95,sbcs,w,0.28,Left,1.55265,20231113:175424.791269,20231113:175426.702478
96,sbcs,b,0.84,Left,2.10877,20231113:175426.703734,20231113:175429.160206
97,sbcs,w,0.16,Left,0.84831,20231113:175429.161586,20231113:175430.357820
98,sbcs,w,0.28,Left,0.77873,20231113:175430.359119,20231113:175431.449562
99,sbcs,w,0.34,Left,0.88052,20231113:175431.450828,20231113:175432.648175
100,sbcs,w,0.16,Left,3.51152,20231113:175432.649411,20231113:175436.512005
101,sbcs,w,0.16,Left,1.61404,20231113:175436.513244,20231113:175438.440976
102,sbcs,w,0.4,Left,0.88833,20231113:175438.442246,20231113:175439.636240
103,sbcs,w,0.34,Left,0.40613,20231113:175439.637476,20231113:175440.362413
104,sbcs,b,0.78,Left,2.61842,20231113:175440.363657,20231113:175443.337818
105,sbcs,b,0.6,Left,0.81352,20231113:175443.339079,20231113:175444.480952
106,sbcs,b,0.9,Left,4.80956,20231113:175444.482357,20231113:175449.607766
107,sbcs,w,0.1,Left,2.22,20231113:175449.608999,20231113:175452.164910
108,sbcs,w,0.28,Left,0.96721,20231113:175452.166156,20231113:175453.466680
109,sbcs,b,0.78,Left,1.38995,20231113:175453.467976,20231113:175455.186862
110,sbcs,w,0.34,Left,1.36117,20231113:175455.188112,20231113:175456.905392
111,sbcs,b,0.72,Left,1.68077,20231113:175456.906635,20231113:175458.939445
112,sbcs,b,0.84,Left,1.09543,20231113:175458.940681,20231113:175500.345980
113,sbcs,w,0.28,Left,1.69583,20231113:175500.398360,20231113:175502.427636
114,sbcs,b,0.72,Left,0.90681,20231113:175502.428857,20231113:175503.707618
115,sbcs,b,0.6,Left,0.4143,20231113:175503.708852,20231113:175504.432832
116,sbcs,b,0.9,Right,1.80868,20231113:175504.434056,20231113:175506.574460
117,sbcs,b,0.72,Left,1.96643,20231113:175506.575731,20231113:175508.865084
118,sbcs,w,0.4,Left,0.65972,20231113:175508.866225,20231113:175509.849290
119,sbcs,w,0.22,Left,1.16981,20231113:175509.850511,20231113:175511.389048
