trial,stim_name,target_bg,l_probe
0,whites,w,0.22
1,whites,w,0.1
2,whites,b,0.78
3,whites,b,0.9
4,whites,b,0.66
5,whites,w,0.1
6,whites,b,0.6
7,whites,b,0.84
8,whites,w,0.22
9,whites,b,0.66
10,whites,b,0.66
11,whites,b,0.66
12,whites,w,0.4
13,whites,w,0.34
14,whites,b,0.66
15,whites,b,0.9
16,whites,w,0.22
17,whites,w,0.16
18,whites,b,0.78
19,whites,w,0.22
20,whites,b,0.6
21,whites,b,0.72
22,whites,w,0.16
23,whites,b,0.78
24,whites,w,0.28
25,whites,b,0.78
26,whites,w,0.28
27,whites,w,0.1
28,whites,b,0.84
29,whites,b,0.78
30,whites,w,0.22
31,whites,w,0.34
32,whites,w,0.1
33,whites,w,0.4
34,whites,w,0.22
35,whites,w,0.22
36,whites,w,0.16
37,whites,b,0.6
38,whites,w,0.1
39,whites,b,0.6
40,whites,b,0.72
41,whites,w,0.34
42,whites,b,0.84
43,whites,b,0.66
44,whites,w,0.34
45,whites,b,0.72
46,whites,b,0.66
47,whites,w,0.4
48,whites,w,0.1
49,whites,b,0.6
50,whites,b,0.9
51,whites,w,0.4
52,whites,b,0.84
53,whites,w,0.4
54,whites,b,0.78
55,whites,b,0.72
56,whites,b,0.78
57,whites,w,0.28
58,whites,b,0.72
59,whites,w,0.4
60,whites,b,0.9
61,whites,b,0.6
62,whites,w,0.34
63,whites,b,0.9
64,whites,b,0.72
65,whites,b,0.78
66,whites,w,0.1
67,whites,b,0.9
68,whites,w,0.28
69,whites,w,0.22
70,whites,w,0.1
71,whites,w,0.1
72,whites,b,0.72
73,whites,w,0.16
74,whites,b,0.66
75,whites,b,0.9
76,whites,w,0.28
77,whites,b,0.66
78,whites,w,0.16
79,whites,w,0.34
80,whites,b,0.6
81,whites,w,0.4
82,whites,b,0.72
83,whites,w,0.22
84,whites,w,0.4
85,whites,b,0.84
86,whites,w,0.16
87,whites,w,0.16
88,whites,w,0.34
89,whites,w,0.28
90,whites,w,0.16
91,whites,b,0.9
92,whites,w,0.34
93,whites,b,0.6
94,whites,w,0.4
95,whites,b,0.84
96,whites,b,0.6
97,whites,b,0.84
98,whites,b,0.72
99,whites,w,0.28
100,whites,b,0.6
101,whites,w,0.16
102,whites,b,0.78
103,whites,b,0.78
104,whites,w,0.1
105,whites,w,0.22
106,whites,b,0.9
107,whites,b,0.66
108,whites,w,0.4
109,whites,w,0.34
110,whites,w,0.28
111,whites,b,0.84
112,whites,w,0.16
113,whites,b,0.72
114,whites,b,0.9
115,whites,w,0.28
116,whites,w,0.34
117,whites,b,0.84
118,whites,w,0.28
119,whites,b,0.84
