stim_name,target_bg,l_probe,isBrighter,resp_time
sbcs,b,0.93,RIGHT,6.785
sbcs,b,0.96,RIGHT,6.226
sbcs,b,0.93,LEFT,4.386
sbcs,b,0.93,RIGHT,5.942
sbcs,b,0.96,RIGHT,3.286
sbcs,b,0.96,RIGHT,5.974
sbcs,b,0.93,LEFT,4.294
sbcs,b,0.93,LEFT,6.107
sbcs,b,0.93,RIGHT,6.215
sbcs,b,0.93,LEFT,6.598
sbcs,b,0.96,RIGHT,3.773
sbcs,b,0.96,RIGHT,6.204
sbcs,b,0.93,LEFT,4.453
sbcs,b,0.96,RIGHT,5.941
sbcs,b,0.93,LEFT,7.124
sbcs,b,0.96,RIGHT,6.151
sbcs,b,0.96,RIGHT,6.459
sbcs,b,0.96,RIGHT,6.263
sbcs,b,0.93,LEFT,3.791
sbcs,b,0.96,RIGHT,6.314
