trial,stim_name,target_bg,l_probe
0,sbcs,w,0.22
1,sbcs,w,0.28
2,sbcs,w,0.1
3,sbcs,b,0.66
4,sbcs,b,0.9
5,sbcs,b,0.72
6,sbcs,b,0.66
7,sbcs,b,0.9
8,sbcs,b,0.66
9,sbcs,w,0.34
10,sbcs,w,0.4
11,sbcs,b,0.9
12,sbcs,b,0.78
13,sbcs,w,0.34
14,sbcs,b,0.9
15,sbcs,b,0.6
16,sbcs,w,0.4
17,sbcs,b,0.66
18,sbcs,b,0.6
19,sbcs,b,0.66
20,sbcs,b,0.66
21,sbcs,w,0.1
22,sbcs,b,0.6
23,sbcs,w,0.1
24,sbcs,w,0.28
25,sbcs,b,0.6
26,sbcs,b,0.78
27,sbcs,b,0.9
28,sbcs,w,0.34
29,sbcs,b,0.78
30,sbcs,w,0.16
31,sbcs,w,0.16
32,sbcs,b,0.66
33,sbcs,w,0.22
34,sbcs,w,0.28
35,sbcs,b,0.72
36,sbcs,b,0.78
37,sbcs,w,0.1
38,sbcs,b,0.78
39,sbcs,w,0.28
40,sbcs,w,0.34
41,sbcs,w,0.34
42,sbcs,b,0.84
43,sbcs,b,0.9
44,sbcs,w,0.1
45,sbcs,b,0.6
46,sbcs,w,0.22
47,sbcs,w,0.1
48,sbcs,b,0.84
49,sbcs,w,0.16
50,sbcs,b,0.6
51,sbcs,b,0.78
52,sbcs,b,0.84
53,sbcs,b,0.84
54,sbcs,b,0.6
55,sbcs,b,0.6
56,sbcs,w,0.22
57,sbcs,w,0.28
58,sbcs,w,0.22
59,sbcs,b,0.84
60,sbcs,b,0.66
61,sbcs,w,0.34
62,sbcs,w,0.16
63,sbcs,b,0.78
64,sbcs,w,0.16
65,sbcs,w,0.34
66,sbcs,w,0.34
67,sbcs,w,0.1
68,sbcs,w,0.28
69,sbcs,w,0.28
70,sbcs,w,0.34
71,sbcs,w,0.28
72,sbcs,b,0.78
73,sbcs,w,0.28
74,sbcs,w,0.34
75,sbcs,b,0.84
76,sbcs,w,0.28
77,sbcs,b,0.66
78,sbcs,w,0.4
79,sbcs,b,0.9
80,sbcs,w,0.1
81,sbcs,b,0.72
82,sbcs,w,0.22
83,sbcs,b,0.84
84,sbcs,b,0.6
85,sbcs,w,0.1
86,sbcs,w,0.4
87,sbcs,b,0.72
88,sbcs,w,0.16
89,sbcs,b,0.9
90,sbcs,b,0.72
91,sbcs,w,0.1
92,sbcs,w,0.16
93,sbcs,b,0.9
94,sbcs,w,0.16
95,sbcs,w,0.4
96,sbcs,w,0.22
97,sbcs,w,0.16
98,sbcs,b,0.72
99,sbcs,b,0.84
100,sbcs,b,0.6
101,sbcs,b,0.78
102,sbcs,w,0.4
103,sbcs,w,0.22
104,sbcs,b,0.72
105,sbcs,b,0.72
106,sbcs,b,0.66
107,sbcs,b,0.72
108,sbcs,w,0.16
109,sbcs,b,0.84
110,sbcs,w,0.22
111,sbcs,b,0.72
112,sbcs,b,0.9
113,sbcs,b,0.84
114,sbcs,w,0.4
115,sbcs,w,0.4
116,sbcs,b,0.78
117,sbcs,w,0.4
118,sbcs,w,0.4
119,sbcs,w,0.22
