BG,0,1,2,Tb,3,4,5,Tw,6,7,0.1,0.16,0.22,0.28,0.34,0.4,0.6,0.66,0.72,0.78,0.84,0.9
49.79,33.09,289.30,21.39,88.58,246.87,19.96,250.92,90.40,23.96,332.03,27.53,33.64,43.68,57.79,56.97,71.36,121,129,154.3,191.2,217.1,247
