trial,stim_name,target_bg,l_probe
0,sbcs,b,0.84
1,sbcs,w,0.4
2,sbcs,w,0.1
3,sbcs,b,0.78
4,sbcs,w,0.34
5,sbcs,w,0.28
6,sbcs,b,0.6
7,sbcs,b,0.78
8,sbcs,w,0.16
9,sbcs,b,0.72
10,sbcs,w,0.28
11,sbcs,w,0.28
12,sbcs,w,0.1
13,sbcs,w,0.16
14,sbcs,w,0.1
15,sbcs,b,0.84
16,sbcs,w,0.22
17,sbcs,b,0.72
18,sbcs,w,0.22
19,sbcs,w,0.28
20,sbcs,b,0.9
21,sbcs,b,0.84
22,sbcs,b,0.9
23,sbcs,w,0.34
24,sbcs,b,0.72
25,sbcs,w,0.1
26,sbcs,w,0.4
27,sbcs,w,0.1
28,sbcs,w,0.1
29,sbcs,b,0.72
30,sbcs,w,0.16
31,sbcs,b,0.78
32,sbcs,w,0.28
33,sbcs,b,0.78
34,sbcs,w,0.28
35,sbcs,b,0.9
36,sbcs,w,0.16
37,sbcs,w,0.34
38,sbcs,w,0.28
39,sbcs,w,0.4
40,sbcs,b,0.72
41,sbcs,b,0.66
42,sbcs,b,0.84
43,sbcs,w,0.4
44,sbcs,b,0.6
45,sbcs,b,0.6
46,sbcs,b,0.6
47,sbcs,b,0.6
48,sbcs,w,0.4
49,sbcs,w,0.22
50,sbcs,b,0.72
51,sbcs,w,0.34
52,sbcs,w,0.22
53,sbcs,b,0.9
54,sbcs,w,0.1
55,sbcs,b,0.9
56,sbcs,b,0.66
57,sbcs,w,0.1
58,sbcs,w,0.4
59,sbcs,b,0.72
60,sbcs,b,0.66
61,sbcs,w,0.28
62,sbcs,b,0.78
63,sbcs,b,0.6
64,sbcs,b,0.6
65,sbcs,b,0.84
66,sbcs,b,0.84
67,sbcs,w,0.34
68,sbcs,w,0.16
69,sbcs,b,0.66
70,sbcs,w,0.4
71,sbcs,b,0.66
72,sbcs,w,0.4
73,sbcs,b,0.72
74,sbcs,b,0.72
75,sbcs,b,0.9
76,sbcs,b,0.9
77,sbcs,w,0.16
78,sbcs,w,0.28
79,sbcs,w,0.16
80,sbcs,b,0.6
81,sbcs,b,0.66
82,sbcs,w,0.34
83,sbcs,w,0.16
84,sbcs,b,0.78
85,sbcs,w,0.22
86,sbcs,b,0.78
87,sbcs,w,0.1
88,sbcs,b,0.84
89,sbcs,b,0.72
90,sbcs,b,0.66
91,sbcs,w,0.34
92,sbcs,w,0.4
93,sbcs,b,0.78
94,sbcs,w,0.4
95,sbcs,b,0.9
96,sbcs,w,0.22
97,sbcs,b,0.9
98,sbcs,b,0.6
99,sbcs,b,0.9
100,sbcs,b,0.78
101,sbcs,w,0.22
102,sbcs,b,0.84
103,sbcs,w,0.22
104,sbcs,w,0.28
105,sbcs,b,0.84
106,sbcs,b,0.66
107,sbcs,w,0.34
108,sbcs,w,0.22
109,sbcs,b,0.78
110,sbcs,w,0.34
111,sbcs,w,0.1
112,sbcs,b,0.66
113,sbcs,b,0.6
114,sbcs,w,0.34
115,sbcs,b,0.84
116,sbcs,w,0.22
117,sbcs,w,0.16
118,sbcs,w,0.16
119,sbcs,b,0.66
