stim_name,target_bg,l_probe,isBrighter,resp_time
whites,b,0.66,RIGHT,7.033
whites,b,0.9,RIGHT,6.162
whites,b,0.6,LEFT,7.918
whites,b,0.9,RIGHT,6.516
whites,w,0.4,LEFT,7.424
whites,w,0.28,LEFT,8.138
whites,w,0.1,RIGHT,10.746
whites,b,0.84,RIGHT,7.319
whites,w,0.16,LEFT,7.59
whites,w,0.28,LEFT,7.417
whites,b,0.66,LEFT,7.086
whites,b,0.66,LEFT,6.515
whites,w,0.34,LEFT,7.955
whites,w,0.22,LEFT,9.028
whites,b,0.9,RIGHT,7.086
whites,b,0.78,LEFT,7.116
whites,w,0.22,LEFT,8.697
whites,b,0.9,RIGHT,7.293
whites,w,0.34,LEFT,8.022
whites,b,0.78,RIGHT,11.356
whites,w,0.22,LEFT,7.941
whites,w,0.1,RIGHT,7.477
whites,b,0.84,RIGHT,7.133
whites,w,0.1,RIGHT,15.895
whites,b,0.78,RIGHT,7.347
whites,w,0.16,RIGHT,13.008
whites,w,0.34,LEFT,7.754
whites,b,0.72,RIGHT,9.014
whites,b,0.84,RIGHT,7.68
whites,w,0.22,LEFT,7.963
whites,b,0.6,LEFT,6.416
whites,w,0.1,LEFT,10.664
whites,w,0.4,RIGHT,0.904
whites,w,0.28,RIGHT,6.752
whites,b,0.78,RIGHT,8.089
whites,b,0.6,LEFT,7.26
whites,w,0.22,LEFT,7.771
whites,w,0.16,RIGHT,7.378
whites,w,0.22,RIGHT,9.353
whites,w,0.34,LEFT,6.285
whites,w,0.4,LEFT,6.009
whites,b,0.6,LEFT,6.906
whites,b,0.84,RIGHT,6.921
whites,b,0.6,LEFT,7.391
whites,b,0.84,RIGHT,6.906
whites,b,0.72,RIGHT,7.547
whites,w,0.1,RIGHT,9.659
whites,w,0.4,LEFT,9.361
whites,w,0.28,RIGHT,9.326
whites,w,0.28,LEFT,6.732
whites,w,0.34,LEFT,7.537
whites,w,0.1,RIGHT,7.683
whites,w,0.34,LEFT,8.141
whites,w,0.28,RIGHT,11.083
whites,b,0.6,LEFT,7.109
whites,b,0.9,RIGHT,6.37
whites,w,0.28,LEFT,7.847
whites,w,0.16,RIGHT,11.176
whites,w,0.4,LEFT,6.78
whites,b,0.6,LEFT,7.027
whites,b,0.9,RIGHT,6.919
whites,w,0.16,RIGHT,7.654
whites,b,0.6,LEFT,7.456
whites,w,0.34,LEFT,6.507
whites,b,0.72,RIGHT,7.865
whites,b,0.66,RIGHT,8.204
whites,w,0.22,RIGHT,7.516
whites,w,0.34,LEFT,7.769
whites,w,0.22,RIGHT,9.268
whites,b,0.66,RIGHT,7.623
whites,w,0.16,RIGHT,8.073
whites,b,0.66,RIGHT,10.378
whites,b,0.9,RIGHT,6.69
whites,b,0.78,RIGHT,6.524
whites,b,0.72,RIGHT,6.978
whites,b,0.78,RIGHT,7.74
whites,w,0.4,LEFT,7.339
whites,b,0.78,RIGHT,7.155
whites,w,0.28,RIGHT,10.427
whites,w,0.4,LEFT,6.52
whites,b,0.84,RIGHT,6.677
whites,w,0.1,RIGHT,6.985
whites,b,0.66,RIGHT,6.671
whites,b,0.66,RIGHT,6.66
whites,w,0.16,RIGHT,7.251
whites,b,0.72,RIGHT,7.508
whites,b,0.78,RIGHT,7.612
whites,w,0.28,RIGHT,10.512
whites,b,0.72,RIGHT,7.447
whites,b,0.78,RIGHT,6.448
whites,b,0.9,RIGHT,6.308
whites,b,0.84,RIGHT,6.298
whites,b,0.72,RIGHT,8.789
whites,b,0.84,RIGHT,6.649
whites,b,0.84,RIGHT,6.427
whites,b,0.66,RIGHT,8.551
whites,w,0.22,RIGHT,6.72
whites,w,0.1,RIGHT,6.882
whites,w,0.28,LEFT,9.409
whites,w,0.16,RIGHT,11.659
whites,b,0.6,LEFT,7.155
whites,b,0.9,RIGHT,5.959
whites,b,0.9,RIGHT,6.447
whites,b,0.78,RIGHT,7.011
whites,w,0.4,LEFT,7.682
whites,b,0.66,RIGHT,9.449
whites,w,0.16,RIGHT,7.262
whites,w,0.34,LEFT,7.119
whites,w,0.34,LEFT,5.994
whites,w,0.1,RIGHT,9.276
whites,w,0.4,LEFT,6.92
whites,b,0.72,RIGHT,8.014
whites,b,0.84,RIGHT,6.662
whites,b,0.72,RIGHT,6.78
whites,w,0.22,RIGHT,8.659
whites,b,0.6,LEFT,7.591
whites,w,0.1,RIGHT,7.6
whites,w,0.16,LEFT,9.063
whites,b,0.72,RIGHT,7.145
whites,w,0.4,LEFT,7.38
